index,add_date,cm_track_id,title,primary_artist,secondary_artist,Prim: Jan. 5-Listeners,Prim: Dec. 6-Listeners,collab,time_on_chart,max velocity,peak weekly rank,current_plays,peak weekly play count,listener difference,listener diff. %,Prim: Dec. 6-Followers,Prim: Jan 5-Followers,current engagement,career status,early FB likes,recent FB likes,early IG followers,recent IG followers,FB Like difference,FB Like % Gain,IG Follower difference,IG Follower % Gain,early Twitter followers,recent Twitter followers,Twitter Follower difference,Twitter Follower % Gain,early Tiktok followers,recent Tiktok followers,Tiktok Follower difference,Tiktok Follower % Gain,early engagement,follower difference,follower diff. %,engagement diff,engagement diff %
0,2020-11-05,15809539,(Don't Fear) The Reaper,Blue Öyster Cult,,3745000,4120491,False,1,,189,1444504,1444504,375491,10.026461949265688,972833,828952,0.2360963778345833,indie,729818.0,723864.0,,,-5954.0,-0.8158198345340893,,,612.0,642.0,30.0,4.901960784313727,,,,,0.22134899866488653,143881,17.356976037213258,0.014747379169696763,6.6625009639296815
1,2020-06-18,28480796,"...And To Those I Love, Thanks For Sticking Around",$uicideBoy$,,4114149,6437769,False,20,8.85714285714286,82,2206115,2206115,2323620,56.47875174185475,2743275,1780079,0.4261219997176041,indie,36971.0,38306.0,1163332.0,1267109.0,1335.0,3.610938302994239,103777.0,8.920669250050716,159390.0,183669.0,24279.0,15.232448710709582,10100.0,33500.0,23400.0,231.68316831683163,0.4326724676233165,963196,54.10973333205997,-0.006550467905712397,-1.5139553347811392
2,2020-02-27,28549308,00:00 (Zero O’Clock),BTS,,13833572,33785654,False,1,,83,2541757,2541757,19952082,144.22942968020118,25814033,15456354,0.7640530800439737,comfortable,9657453.0,13062642.0,21845223.0,34031993.0,3405189.0,35.25970046139494,12186770.0,55.786887595516866,23399248.0,31239850.0,7840602.0,33.507922989661886,12131180.0,25300000.0,13168820.0,108.55349603253764,1.1173075182606491,10357679,67.01243385082924,-0.35325443821667546,-31.6165811509618
3,2020-04-16,28998481,10 Fucks (with Mansa),Tory Lanez,Mansa,12412488,19854939,True,1,,177,1431644,1431644,7442451,59.959381229613285,3346459,2665940,0.16854541834653836,comfortable,796228.0,864656.0,5455275.0,10085557.0,68428.0,8.594020808110239,4630282.0,84.87715101438516,1656908.0,2033080.0,376172.0,22.70325208158811,1030621.0,1400000.0,369379.0,35.840430187236635,0.21477885819506934,680519,25.526418449027357,-0.04623343984853098,-21.526066502569922
4,2020-02-06,25523855,"10,000 Hours (with Justin Bieber)",Dan + Shay,Justin Bieber,19367377,15716932,True,60,4.142857142857141,43,3556867,3556867,-3650445,-18.84842227215384,1979004,1353086,0.12591541402609618,comfortable,410126.0,440374.0,1064527.0,1090298.0,30248.0,7.375294421714302,25771.0,2.4208873988165642,545817.0,574524.0,28707.0,5.259455092091304,409973.0,546400.0,136427.0,33.27706946555017,0.06986418449953237,625918,46.258552671448825,0.05605122952656381,80.22884676616957
5,2020-03-05,28607806,100 Shots,NLE Choppa,,10219130,10117511,False,1,,186,1805592,1805592,-101619,-0.9943997189584632,2442923,718772,0.24145493886786976,comfortable,65214.0,193282.0,530810.0,2054028.0,128068.0,196.3811451528813,1523218.0,286.96105951282004,246695.0,928300.0,681605.0,276.2946148077586,2395936.0,4800000.0,2404064.0,100.33924111495465,0.07033592879237274,1724151,239.874536014202,0.17111901007549699,243.28819283901063
6,2020-06-04,29594205,1000 Doves,Lady Gaga,,31157161,40385514,False,1,,136,1726595,1726595,9228353,29.61872232197279,14839074,10120286,0.36743556117671294,comfortable,58447258.0,57535270.0,38931887.0,45402284.0,-911988.0,-1.5603606246164703,6470397.0,16.61978778475341,80626027.0,82906492.0,2280465.0,2.8284476922073813,2460620.0,3000000.0,539380.0,21.920491583422066,0.3248141253948009,4718788,46.627022200755995,0.04262143578191202,13.121792572939082
7,2020-03-26,28816195,12.38,Childish Gambino,,12687034,14185617,False,1,,158,1659993,1659993,1498583,11.811925466582654,7174653,5782628,0.5057695410781216,comfortable,1599997.0,1608302.0,3725887.0,3871216.0,8305.0,0.5190634732440124,145329.0,3.9005208692587834,2419164.0,2518816.0,99652.0,4.119274261687097,,,,,0.4557903762218971,1392025,24.07253241951583,0.04997916485622445,10.965383971137769
8,2020-12-03,32087425,120,Bad Bunny,,39855261,50734643,False,1,,83,2484295,2484295,10879382,27.297229341943087,27182805,17605395,0.5357839021356671,superstar,3541518.0,8530442.0,20759781.0,28757108.0,4988924.0,140.86964968129485,7997327.0,38.52317613562494,889435.0,2473155.0,1583720.0,178.0591049374041,,,,,0.44173327581520544,9577410,54.40042668738759,0.09405062632046164,21.29127042713593
9,2020-03-12,17698994,20 Min,Lil Uzi Vert,,19704528,20512450,False,46,9.0,116,2235745,2235745,807922,4.100184485515208,10245048,7515222,0.4994551114079498,comfortable,1155268.0,1311473.0,11130666.0,13375620.0,156205.0,13.521105059605215,2244954.0,20.169089612427506,5673884.0,7803032.0,2129148.0,37.525405877173384,,,,,0.3813956873262836,2729826,36.32395689708169,0.1180594240816662,30.954577622338576
