,rank,added_at,title,artist,isrc,velocity,cm_id,time_on_chart,release_dates,cm artist id,spotify followers-jan 5,spotify followers-dec 6,Max Weekly Velocity,artist popularity index
0,16,2020-01-05T00:00:00.000Z,Fuck It up (feat. Yg),Kamaiyah,TCACN1619441,-0.7142857142857142,14357947.0,17,['2016-03-23T00:00:00.000Z'],207293.0,88931.0,121839.0,-0.7142857142857142,established
1,29,2020-01-05T00:00:00.000Z,Not What I Meant (feat. Lewis Watson),dodie,QM6N21808970,,22030900.0,8,['2019-01-18T00:00:00.000Z'],132642.0,603167.0,792230.0,,established
2,32,2020-01-05T00:00:00.000Z,Genie in a Bottle,Christina Aguilera,USRC19900032,-0.28571428571428603,15684212.0,10,"['2014-11-17T00:00:00.000Z', '2010-03-05T00:00:00.000Z', '2017-01-27T00:00:00.000Z', '2010-02-26T00:00:00.000Z', '2014-11-28T00:00:00.000Z', '1999-01-01T00:00:00.000Z', '1999-01-01T00:00:00.000Z', '2012-09-07T00:00:00.000Z', '2010-01-01T00:00:00.000Z', '2014-03-21T00:00:00.000Z', '2009-09-21T00:00:00.000Z', '2014-10-30T00:00:00.000Z', '2002-03-25T00:00:00.000Z', '2010-09-10T00:00:00.000Z', '1999-01-01T00:00:00.000Z', '2014-10-30T00:00:00.000Z', '2006-08-28T00:00:00.000Z', '2007-10-01T00:00:00.000Z', '2014-08-22T00:00:00.000Z', '2008-04-29T00:00:00.000Z', '2013-10-18T00:00:00.000Z', '2011-01-01T00:00:00.000Z', '2014-06-10T00:00:00.000Z', '2008-11-10T00:00:00.000Z', '2008-11-06T00:00:00.000Z', '1999-01-01T00:00:00.000Z', '1999-08-24T00:00:00.000Z', '2015-02-20T00:00:00.000Z', '2006-01-01T00:00:00.000Z', '2016-06-24T00:00:00.000Z', '2015-10-23T00:00:00.000Z', '2009-09-30T00:00:00.000Z', '1999-01-01T00:00:00.000Z', '2008-11-07T00:00:00.000Z', '2010-12-10T00:00:00.000Z', '2018-06-22T00:00:00.000Z', '2013-02-25T00:00:00.000Z', '2019-02-01T00:00:00.000Z', '2001-11-20T00:00:00.000Z', '1999-07-15T00:00:00.000Z', '1999-02-03T00:00:00.000Z', '2019-02-15T00:00:00.000Z', '2019-10-04T00:00:00.000Z', '2019-04-19T00:00:00.000Z', '2020-03-06T00:00:00.000Z', '2020-11-13T00:00:00.000Z']",166.0,4785020.0,5620368.0,-0.28571428571428603,established
3,48,2020-01-05T00:00:00.000Z,Graduation,benny blanco,USUM71916692,0.5714285714285711,25018317.0,131,"['2019-08-30T00:00:00.000Z', '2019-08-30T00:00:00.000Z', '2019-10-24T00:00:00.000Z', '2020-08-14T00:00:00.000Z', '2020-11-16T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-16T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z']",1118101.0,451284.0,667863.0,0.5714285714285711,established
4,50,2020-01-05T00:00:00.000Z,Take a selfie,bonquiqui,USDM31400016,-1.0,15237614.0,62,"['2014-01-01T00:00:00.000Z', '2014-06-03T00:00:00.000Z', '2014-01-01T00:00:00.000Z', '2014-04-07T00:00:00.000Z', '2014-01-01T00:00:00.000Z', '2014-06-13T00:00:00.000Z', '2014-01-28T00:00:00.000Z', '2016-11-25T00:00:00.000Z', '2014-01-01T00:00:00.000Z', '2014-04-18T00:00:00.000Z', '2014-01-01T00:00:00.000Z', '2014-06-16T00:00:00.000Z', '2014-01-01T00:00:00.000Z', '2014-01-01T00:00:00.000Z', '2014-01-01T00:00:00.000Z', '2014-02-28T00:00:00.000Z', '2014-05-02T00:00:00.000Z', '2014-05-23T00:00:00.000Z', '2019-12-27T00:00:00.000Z', '2019-12-27T00:00:00.000Z', '2020-01-03T00:00:00.000Z', '2019-11-01T00:00:00.000Z', '2020-02-28T00:00:00.000Z', '2020-04-03T00:00:00.000Z', '2020-04-10T00:00:00.000Z', '2020-06-05T00:00:00.000Z', '2020-06-05T00:00:00.000Z', '2020-06-12T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-08-07T00:00:00.000Z']",,,,-1.0,emerging
5,52,2020-01-05T00:00:00.000Z,walk but in a garden,LLusion,QZFYY1967586,,24201059.0,125,"['2019-06-19T00:00:00.000Z', '2020-07-03T00:00:00.000Z']",781392.0,159012.0,236450.0,,established
6,54,2020-01-05T00:00:00.000Z,Riptide - FlicFlac Remix,Vance Joy,AULI01385760,12.857142857142902,11005892.0,62,"['2014-04-07T00:00:00.000Z', '2014-05-30T00:00:00.000Z', '2013-10-04T00:00:00.000Z', '2015-09-04T00:00:00.000Z', '2013-03-22T00:00:00.000Z', '2013-11-25T00:00:00.000Z', '2014-07-11T00:00:00.000Z', '2014-09-05T00:00:00.000Z', '2014-10-13T00:00:00.000Z', '2014-09-09T00:00:00.000Z', '2014-09-09T00:00:00.000Z', '2014-09-08T00:00:00.000Z', '2014-03-28T00:00:00.000Z', '2014-03-07T00:00:00.000Z', '2013-09-03T00:00:00.000Z', '2019-04-05T00:00:00.000Z', '2019-04-05T00:00:00.000Z', '2019-05-03T00:00:00.000Z', '2019-04-12T00:00:00.000Z', '2019-04-12T00:00:00.000Z', '2019-04-05T00:00:00.000Z', '2019-12-27T00:00:00.000Z', '2020-02-14T00:00:00.000Z', '2020-02-21T00:00:00.000Z', '2020-02-28T00:00:00.000Z', '2020-03-27T00:00:00.000Z', '2020-04-13T00:00:00.000Z', '2020-04-17T00:00:00.000Z', '2020-04-24T00:00:00.000Z', '2020-05-01T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-05-29T00:00:00.000Z', '2020-06-12T00:00:00.000Z', '2020-07-10T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-08-07T00:00:00.000Z', '2020-08-07T00:00:00.000Z', '2020-09-04T00:00:00.000Z', '2020-09-04T00:00:00.000Z', '2020-10-05T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-19T00:00:00.000Z']",4519.0,1925877.0,2222364.0,12.857142857142902,established
7,60,2020-01-05T00:00:00.000Z,Juicy,Doja Cat,USRC11901510,-1.28571428571429,24875465.0,74,"['2019-08-15T00:00:00.000Z', '2019-11-07T00:00:00.000Z', '2020-11-11T00:00:00.000Z']",217671.0,779315.0,4337663.0,-1.28571428571429,established
8,65,2020-01-05T00:00:00.000Z,Tonight Tonight,Hot Chelle Rae,USJI11100019,-0.5714285714285711,15447805.0,54,"['2011-11-25T00:00:00.000Z', '2011-05-10T00:00:00.000Z', '2012-09-07T00:00:00.000Z', '2011-01-27T00:00:00.000Z', '2013-07-05T00:00:00.000Z', '2011-11-30T00:00:00.000Z', '2016-07-08T00:00:00.000Z', '2012-01-20T00:00:00.000Z', '2012-01-01T00:00:00.000Z']",3542.0,431348.0,490952.0,-0.5714285714285711,established
9,66,2020-01-05T00:00:00.000Z,It's The Hard-Knock Life,"Quvenzhané Wallis, Zoe Margaret Colletti, Nicolette Pierini, Eden Duncan-Smith & Amanda Troya",US4DG1400209,0.14285714285714302,14614957.0,25,"['2014-12-05T00:00:00.000Z', '2014-11-14T00:00:00.000Z']",,,,0.14285714285714302,emerging
